,Station No.,Status,Time,Stands,Bikes Avail,Spaces Avail,Bank,human_readible,weather_tamp,weather_rain,weather_temperature,weather_time
124667,22.0,OPEN,1521146541000,20,17,3,0,15/03/2018 20:42:21,1521147600000.0,0.09,7.38,15/03/2018 21:00
124668,12.0,OPEN,1521146512000,20,18,2,0,15/03/2018 20:41:52,1521147600000.0,0.09,7.38,15/03/2018 21:00
124669,34.0,OPEN,1521146437000,30,19,11,0,15/03/2018 20:40:37,1521147600000.0,0.09,7.38,15/03/2018 21:00
124670,78.0,OPEN,1521146498000,40,20,20,0,15/03/2018 20:41:38,1521147600000.0,0.09,7.38,15/03/2018 21:00
124671,2.0,OPEN,1521146657000,20,3,17,1,15/03/2018 20:44:17,1521147600000.0,0.09,7.38,15/03/2018 21:00
124672,75.0,OPEN,1521146617000,40,33,7,1,15/03/2018 20:43:37,1521147600000.0,0.09,7.38,15/03/2018 21:00
124673,26.0,OPEN,1521146509000,20,1,19,1,15/03/2018 20:41:49,1521147600000.0,0.09,7.38,15/03/2018 21:00
124674,65.0,OPEN,1521146629000,40,1,39,1,15/03/2018 20:43:49,1521147600000.0,0.09,7.38,15/03/2018 21:00
124676,86.0,OPEN,1521146590000,38,38,0,1,15/03/2018 20:43:10,1521147600000.0,0.09,7.38,15/03/2018 21:00
124680,24.0,OPEN,1521146419000,20,14,6,0,15/03/2018 20:40:19,1521147600000.0,0.09,7.38,15/03/2018 21:00
124681,64.0,CLOSED,1521146485000,40,0,0,1,15/03/2018 20:41:25,1521147600000.0,0.09,7.38,15/03/2018 21:00
124682,85.0,OPEN,1521146612000,35,23,12,1,15/03/2018 20:43:32,1521147600000.0,0.09,7.38,15/03/2018 21:00
124683,33.0,OPEN,1521146600000,23,17,6,1,15/03/2018 20:43:20,1521147600000.0,0.09,7.38,15/03/2018 21:00
124684,44.0,OPEN,1521146350000,30,27,3,0,15/03/2018 20:39:10,1521147600000.0,0.09,7.38,15/03/2018 21:00
124685,89.0,CLOSED,1521146594000,40,0,0,1,15/03/2018 20:43:14,1521147600000.0,0.09,7.38,15/03/2018 21:00
124687,80.0,OPEN,1521146575000,40,12,28,0,15/03/2018 20:42:55,1521147600000.0,0.09,7.38,15/03/2018 21:00
124688,41.0,OPEN,1521146673000,20,1,19,0,15/03/2018 20:44:33,1521147600000.0,0.09,7.38,15/03/2018 21:00
124689,3.0,OPEN,1521146378000,20,0,20,0,15/03/2018 20:39:38,1521147600000.0,0.09,7.38,15/03/2018 21:00
124690,46.0,OPEN,1521146484000,35,34,1,1,15/03/2018 20:41:24,1521147600000.0,0.09,7.38,15/03/2018 21:00
124691,40.0,OPEN,1521146359000,21,1,20,1,15/03/2018 20:39:19,1521147600000.0,0.09,7.38,15/03/2018 21:00
124693,70.0,OPEN,1521146544000,40,19,21,1,15/03/2018 20:42:24,1521147600000.0,0.09,7.38,15/03/2018 21:00
124696,83.0,OPEN,1521146376000,40,30,10,0,15/03/2018 20:39:36,1521147600000.0,0.09,7.38,15/03/2018 21:00
124697,92.0,OPEN,1521146648000,40,40,0,0,15/03/2018 20:44:08,1521147600000.0,0.09,7.38,15/03/2018 21:00
124698,21.0,OPEN,1521146658000,30,18,11,0,15/03/2018 20:44:18,1521147600000.0,0.09,7.38,15/03/2018 21:00
124699,88.0,OPEN,1521146647000,30,29,1,0,15/03/2018 20:44:07,1521147600000.0,0.09,7.38,15/03/2018 21:00
124700,42.0,OPEN,1521146872000,30,30,0,1,15/03/2018 20:47:52,1521147600000.0,0.09,7.38,15/03/2018 21:00
124701,30.0,CLOSED,1521146969000,20,0,0,1,15/03/2018 20:49:29,1521147600000.0,0.09,7.38,15/03/2018 21:00
124702,54.0,OPEN,1521146780000,33,1,32,0,15/03/2018 20:46:20,1521147600000.0,0.09,7.38,15/03/2018 21:00
124704,6.0,OPEN,1521146878000,20,18,2,0,15/03/2018 20:47:58,1521147600000.0,0.09,7.38,15/03/2018 21:00
124705,18.0,OPEN,1521146716000,30,11,19,1,15/03/2018 20:45:16,1521147600000.0,0.09,7.38,15/03/2018 21:00
124708,48.0,OPEN,1521146731000,40,28,12,0,15/03/2018 20:45:31,1521147600000.0,0.09,7.38,15/03/2018 21:00
124709,13.0,OPEN,1521146789000,30,6,24,0,15/03/2018 20:46:29,1521147600000.0,0.09,7.38,15/03/2018 21:00
124710,43.0,OPEN,1521146957000,30,3,27,1,15/03/2018 20:49:17,1521147600000.0,0.09,7.38,15/03/2018 21:00
124711,81.0,OPEN,1521146810000,40,7,33,0,15/03/2018 20:46:50,1521147600000.0,0.09,7.38,15/03/2018 21:00
124712,31.0,OPEN,1521146906000,20,16,4,0,15/03/2018 20:48:26,1521147600000.0,0.09,7.38,15/03/2018 21:00
124713,98.0,OPEN,1521146970000,30,0,30,1,15/03/2018 20:49:30,1521147600000.0,0.09,7.38,15/03/2018 21:00
124714,14.0,OPEN,1521146795000,30,27,3,0,15/03/2018 20:46:35,1521147600000.0,0.09,7.38,15/03/2018 21:00
124716,23.0,OPEN,1521146877000,30,14,16,1,15/03/2018 20:47:57,1521147600000.0,0.09,7.38,15/03/2018 21:00
124717,68.0,OPEN,1521146838000,40,6,34,1,15/03/2018 20:47:18,1521147600000.0,0.09,7.38,15/03/2018 21:00
124718,74.0,OPEN,1521146711000,30,1,29,0,15/03/2018 20:45:11,1521147600000.0,0.09,7.38,15/03/2018 21:00
124719,87.0,OPEN,1521146764000,38,28,10,1,15/03/2018 20:46:04,1521147600000.0,0.09,7.38,15/03/2018 21:00
124726,63.0,OPEN,1521146891000,35,0,35,0,15/03/2018 20:48:11,1521147600000.0,0.09,7.38,15/03/2018 21:00
124727,91.0,OPEN,1521146974000,30,24,6,0,15/03/2018 20:49:34,1521147600000.0,0.09,7.38,15/03/2018 21:00
124729,9.0,OPEN,1521146959000,24,12,12,0,15/03/2018 20:49:19,1521147600000.0,0.09,7.38,15/03/2018 21:00
124731,55.0,OPEN,1521146732000,36,0,36,0,15/03/2018 20:45:32,1521147600000.0,0.09,7.38,15/03/2018 21:00
124733,5.0,OPEN,1521146889000,40,26,14,0,15/03/2018 20:48:09,1521147600000.0,0.09,7.38,15/03/2018 21:00
124735,61.0,OPEN,1521146849000,25,9,16,1,15/03/2018 20:47:29,1521147600000.0,0.09,7.38,15/03/2018 21:00
124738,4.0,OPEN,1521146712000,20,6,14,0,15/03/2018 20:45:12,1521147600000.0,0.09,7.38,15/03/2018 21:00
124742,60.0,OPEN,1521146907000,30,19,11,1,15/03/2018 20:48:27,1521147600000.0,0.09,7.38,15/03/2018 21:00
124743,102.0,OPEN,1521146960000,40,8,32,0,15/03/2018 20:49:20,1521147600000.0,0.09,7.38,15/03/2018 21:00
124744,38.0,OPEN,1521146930000,40,24,16,0,15/03/2018 20:48:50,1521147600000.0,0.09,7.38,15/03/2018 21:00
124745,53.0,OPEN,1521146882000,40,0,38,0,15/03/2018 20:48:02,1521147600000.0,0.09,7.38,15/03/2018 21:00
124746,58.0,OPEN,1521146712000,40,0,40,1,15/03/2018 20:45:12,1521147600000.0,0.09,7.38,15/03/2018 21:00
124747,66.0,OPEN,1521146727000,40,14,25,0,15/03/2018 20:45:27,1521147600000.0,0.09,7.38,15/03/2018 21:00
124749,47.0,OPEN,1521146873000,40,1,39,0,15/03/2018 20:47:53,1521147600000.0,0.09,7.38,15/03/2018 21:00
124750,8.0,OPEN,1521146932000,30,0,30,0,15/03/2018 20:48:52,1521147600000.0,0.09,7.38,15/03/2018 21:00
124751,27.0,OPEN,1521146810000,20,0,20,0,15/03/2018 20:46:50,1521147600000.0,0.09,7.38,15/03/2018 21:00
124752,16.0,OPEN,1521146712000,20,10,10,0,15/03/2018 20:45:12,1521147600000.0,0.09,7.38,15/03/2018 21:00
124754,82.0,OPEN,1521146680000,22,10,12,0,15/03/2018 20:44:40,1521147600000.0,0.09,7.38,15/03/2018 21:00
124760,51.0,OPEN,1521146974000,40,20,20,0,15/03/2018 20:49:34,1521147600000.0,0.09,7.38,15/03/2018 21:00
124762,59.0,OPEN,1521146920000,20,10,10,0,15/03/2018 20:48:40,1521147600000.0,0.09,7.38,15/03/2018 21:00
124763,95.0,OPEN,1521146769000,40,24,16,1,15/03/2018 20:46:09,1521147600000.0,0.09,7.38,15/03/2018 21:00
124764,94.0,OPEN,1521146931000,40,36,4,0,15/03/2018 20:48:51,1521147600000.0,0.09,7.38,15/03/2018 21:00
124765,36.0,OPEN,1521146731000,40,12,27,1,15/03/2018 20:45:31,1521147600000.0,0.09,7.38,15/03/2018 21:00
124768,12.0,OPEN,1521146747000,20,19,1,0,15/03/2018 20:45:47,1521147600000.0,0.09,7.38,15/03/2018 21:00
124769,34.0,OPEN,1521146732000,30,20,10,0,15/03/2018 20:45:32,1521147600000.0,0.09,7.38,15/03/2018 21:00
124773,26.0,OPEN,1521146845000,20,2,18,1,15/03/2018 20:47:25,1521147600000.0,0.09,7.38,15/03/2018 21:00
124775,15.0,OPEN,1521146917000,16,1,15,0,15/03/2018 20:48:37,1521147600000.0,0.09,7.38,15/03/2018 21:00
124777,35.0,OPEN,1521146926000,30,29,1,0,15/03/2018 20:48:46,1521147600000.0,0.09,7.38,15/03/2018 21:00
124778,10.0,OPEN,1521146769000,16,15,1,1,15/03/2018 20:46:09,1521147600000.0,0.09,7.38,15/03/2018 21:00
124779,100.0,OPEN,1521146857000,25,25,0,0,15/03/2018 20:47:37,1521147600000.0,0.09,7.38,15/03/2018 21:00
124780,24.0,OPEN,1521146753000,20,14,6,0,15/03/2018 20:45:53,1521147600000.0,0.09,7.38,15/03/2018 21:00
124783,33.0,OPEN,1521146970000,23,17,6,1,15/03/2018 20:49:30,1521147600000.0,0.09,7.38,15/03/2018 21:00
124784,44.0,OPEN,1521146846000,30,28,2,0,15/03/2018 20:47:26,1521147600000.0,0.09,7.38,15/03/2018 21:00
124786,57.0,OPEN,1521146728000,23,0,23,0,15/03/2018 20:45:28,1521147600000.0,0.09,7.38,15/03/2018 21:00
124791,40.0,OPEN,1521146913000,21,0,21,1,15/03/2018 20:48:33,1521147600000.0,0.09,7.38,15/03/2018 21:00
124792,29.0,OPEN,1521146760000,29,24,5,1,15/03/2018 20:46:00,1521147600000.0,0.09,7.38,15/03/2018 21:00
124793,70.0,OPEN,1521146961000,40,17,23,1,15/03/2018 20:49:21,1521147600000.0,0.09,7.38,15/03/2018 21:00
124794,28.0,OPEN,1521146924000,30,20,10,0,15/03/2018 20:48:44,1521147600000.0,0.09,7.38,15/03/2018 21:00
124795,39.0,OPEN,1521146770000,20,6,14,1,15/03/2018 20:46:10,1521147600000.0,0.09,7.38,15/03/2018 21:00
124797,92.0,OPEN,1521146913000,40,40,0,0,15/03/2018 20:48:33,1521147600000.0,0.09,7.38,15/03/2018 21:00
124798,21.0,OPEN,1521146973000,30,18,11,0,15/03/2018 20:49:33,1521147600000.0,0.09,7.38,15/03/2018 21:00
124800,42.0,OPEN,1521147265000,30,30,0,1,15/03/2018 20:54:25,1521147600000.0,0.09,7.38,15/03/2018 21:00
124803,56.0,OPEN,1521147035000,40,3,37,0,15/03/2018 20:50:35,1521147600000.0,0.09,7.38,15/03/2018 21:00
124805,18.0,OPEN,1521147255000,30,11,19,1,15/03/2018 20:54:15,1521147600000.0,0.09,7.38,15/03/2018 21:00
124806,32.0,OPEN,1521147146000,30,3,27,1,15/03/2018 20:52:26,1521147600000.0,0.09,7.38,15/03/2018 21:00
124807,52.0,OPEN,1521147172000,32,0,32,0,15/03/2018 20:52:52,1521147600000.0,0.09,7.38,15/03/2018 21:00
124809,13.0,OPEN,1521147276000,30,6,24,0,15/03/2018 20:54:36,1521147600000.0,0.09,7.38,15/03/2018 21:00
124810,43.0,OPEN,1521147177000,30,4,26,1,15/03/2018 20:52:57,1521147600000.0,0.09,7.38,15/03/2018 21:00
124811,81.0,OPEN,1521147275000,40,7,33,0,15/03/2018 20:54:35,1521147600000.0,0.09,7.38,15/03/2018 21:00
